type,beds,baths,garage,lot_sqft,sqft,stories,listPrice,age_range
5,4,4,1,5615.0,3000.0,2,750000.0,4
5,4,3,2,6566.0,2900.0,2,499900.0,1
5,4,2,3,5375.0,1170.0,2,325600.0,4
5,4,3,2,6138.0,2511.0,2,620000.0,4
5,4,4,2,8476.0,2870.0,3,850000.0,1
5,4,3,2,3811.0,2800.0,2,599000.0,1
5,5,5,2,3125.0,4200.0,2,1500000.0,0
5,2,2,2,3775.0,1637.0,2,110000.0,4
5,3,3,2,4375.0,2600.0,1,599990.0,4
5,4,2,2,3149.0,3150.0,2,399900.0,4
5,3,3,2,6970.0,2117.0,2,324999.0,1
5,4,3,2,8500.0,1984.0,2,624900.0,1
5,4,5,2,3751.0,1550.0,2,1150000.0,0
5,2,2,2,3750.0,1800.0,2,249900.0,3
5,3,4,2,3125.0,1550.0,2,899000.0,1
5,4,4,2,8390.0,4632.0,2,1075000.0,3
4,5,2,2,3660.0,1550.0,2,559000.0,1
5,5,4,2,8650.0,4557.0,2,1350000.0,4
5,5,4,2,9845.0,3489.0,2,674900.0,4
5,6,11,3,25975.0,25000.0,3,23500000.0,0
4,7,5,2,2900.0,1550.0,2,244400.0,0
1,3,2,2,3751.0,1550.0,4,49900.0,0
6,2,1,2,3751.0,1000.0,2,34900.0,3
5,3,2,2,5924.0,1567.0,2,215000.0,4
5,3,4,1,7841.0,1904.0,2,825000.0,4
5,5,2,2,3049.0,1700.0,2,219900.0,1
5,3,2,1,6874.0,1360.0,2,249999.0,1
5,5,5,2,11748.0,6000.0,2,649000.0,3
5,3,3,2,3751.0,1550.0,1,399900.0,4
5,4,1,2,3751.0,1100.0,2,250000.0,2
5,4,2,1,3500.0,3900.0,2,425000.0,1
5,3,2,2,3125.0,2200.0,2,319000.0,3
5,4,4,2,2657.0,3896.0,2,1875000.0,0
5,4,2,2,4125.0,1400.0,2,339900.0,4
5,5,3,2,3750.0,2100.0,2,625000.0,4
5,3,3,1,3751.0,1800.0,2,349900.0,1
5,7,3,2,3751.0,2352.0,2,115000.0,2
5,3,3,1,3485.0,2250.0,2,384500.0,3
5,5,4,2,3125.0,1550.0,3,1650000.0,4
5,3,3,2,3751.0,2527.0,1,354999.0,3
5,4,3,2,3123.0,1680.0,2,620000.0,1
5,4,6,2,1664.0,4000.0,3,2049000.0,0
5,4,2,1,3750.0,1240.0,2,224900.0,3
5,2,2,1,3751.0,1053.0,1,199900.0,4
5,2,2,2,3751.0,2200.0,2,265000.0,1
5,3,1,2,3751.0,1200.0,1,145000.0,4
5,4,4,2,3123.0,2725.0,3,965000.0,0
4,5,7,2,3751.0,1550.0,2,2699999.0,1
5,4,2,2,3750.0,1550.0,2,285000.0,4
5,5,2,2,3751.0,1848.0,2,199999.0,1
5,2,2,2,3751.0,1550.0,2,410000.0,1
5,3,2,2,3125.0,1500.0,3,750000.0,2
5,2,1,1,3500.0,1000.0,1,195000.0,1
5,3,2,2,4182.0,1628.0,2,279900.0,1
5,3,1,2,3780.0,2093.0,2,535000.0,1
5,4,2,2,3750.0,2100.0,3,925000.0,1
5,5,3,2,3180.0,1980.0,3,850000.0,2
5,3,1,2,3751.0,1020.0,1,24000.0,3
5,4,1,2,3149.0,1600.0,2,179900.0,4
5,3,2,2,3751.0,1292.0,2,299900.0,4
5,2,2,2,3093.0,893.0,1,275000.0,3
5,2,2,1,4373.0,1335.0,1,459900.0,4
5,4,2,2,2880.0,714.0,2,129900.0,1
5,4,3,2,3125.0,3125.0,2,529000.0,1
5,3,2,2,3780.0,1008.0,1,319000.0,4
5,4,2,2,3750.0,1319.0,2,250000.0,4
5,4,3,2,3125.0,1716.0,2,620000.0,4
5,3,2,2,3750.0,1060.0,1,335000.0,4
1,2,2,2,3751.0,1225.0,2,465000.0,3
5,3,1,2,3750.0,1127.0,2,190000.0,1
1,2,1,2,3751.0,1200.0,1,280000.0,1
4,8,4,2,3125.0,1550.0,2,649900.0,2
5,1,1,2,3751.0,905.0,3,112000.0,1
4,8,3,2,3485.0,3850.0,2,799900.0,1
5,2,1,2,3125.0,968.0,1,345000.0,3
1,3,3,1,3751.0,1550.0,3,725000.0,1
5,2,2,2,3125.0,2200.0,2,599000.0,0
5,1,0,2,4374.0,1300.0,1,450000.0,1
1,3,2,2,3751.0,1600.0,1,350000.0,4
4,6,5,2,3485.0,1550.0,2,549000.0,3
5,3,3,2,3751.0,2889.0,2,824000.0,0
5,3,2,2,6970.0,1348.0,2,199900.0,3
5,4,2,2,3125.0,977.0,2,129900.0,4
1,1,1,2,3751.0,1550.0,5,375000.0,1
1,3,3,1,3751.0,2615.0,4,1199999.0,0
1,3,2,2,3751.0,1550.0,4,949000.0,0
1,2,1,1,3751.0,1400.0,3,399000.0,4
4,4,2,2,3485.0,1550.0,2,575000.0,1
1,2,2,1,3751.0,1200.0,3,285000.0,0
1,2,2,2,3751.0,1550.0,3,315000.0,1
4,9,6,2,3125.0,1550.0,2,949000.0,0
1,3,3,2,3751.0,2283.0,3,498000.0,0
1,2,2,1,3751.0,1550.0,3,710000.0,0
1,3,3,2,3751.0,1550.0,3,699900.0,0
1,2,2,2,3751.0,950.0,3,260000.0,1
1,2,1,2,3751.0,1550.0,3,345000.0,1
1,3,3,2,3751.0,2000.0,1,360000.0,4
1,2,1,2,6200.0,942.0,3,289900.0,4
1,2,3,2,3751.0,2167.0,4,899000.0,4
1,1,1,36,3751.0,1550.0,7,329900.0,0
1,3,2,1,3751.0,1550.0,3,765000.0,0
1,4,3,1,3751.0,2300.0,4,965000.0,0
1,3,2,2,3751.0,1550.0,3,525000.0,1
1,2,2,2,3751.0,780.0,3,299900.0,4
1,2,2,2,3751.0,1200.0,4,229900.0,4
4,5,3,2,4375.0,1550.0,2,559000.0,1
1,2,2,2,3751.0,1200.0,1,249900.0,0
1,4,4,1,3751.0,4400.0,4,2450000.0,0
6,3,3,2,1586.0,3200.0,3,1150000.0,0
1,4,3,3,3751.0,1550.0,4,1450000.0,0
6,3,3,2,3751.0,2382.0,4,649900.0,0
1,3,2,2,3751.0,1400.0,3,204900.0,1
1,3,3,1,3751.0,2340.0,3,975000.0,0
4,6,2,2,3751.0,1550.0,2,649900.0,2
1,2,2,1,3751.0,1550.0,3,735000.0,0
4,5,2,2,3485.0,1550.0,2,284900.0,1
1,3,2,2,3751.0,1600.0,3,469000.0,1
6,2,2,1,2142.0,992.0,2,219900.0,4
1,3,3,2,3751.0,2300.0,4,325000.0,1
1,4,5,1,3751.0,4000.0,4,1599000.0,0
6,4,5,1,3751.0,3800.0,4,1050000.0,3
4,6,3,2,6098.0,3000.0,2,600000.0,1
1,2,2,1,3751.0,1116.0,3,450000.0,1
4,4,2,2,2698.0,1550.0,2,699900.0,1
1,2,1,1,3751.0,900.0,1,335000.0,3
1,2,2,2,3751.0,1350.0,4,629000.0,4
1,3,4,2,3751.0,4500.0,12,1495000.0,1
1,2,2,1,3751.0,1200.0,3,389000.0,0
1,2,1,2,3751.0,1550.0,4,385000.0,1
4,6,2,2,3751.0,1550.0,2,265000.0,1
4,8,5,2,2616.0,1550.0,2,1229900.0,4
1,3,2,1,3751.0,1550.0,4,635000.0,0
1,3,2,2,3751.0,2000.0,3,450000.0,4
1,3,3,2,3751.0,1850.0,4,600000.0,0
1,2,2,2,3751.0,1000.0,3,175000.0,4
1,3,3,1,3751.0,1700.0,4,850000.0,0
1,1,1,2,3751.0,1550.0,2,155000.0,3
1,2,2,2,3751.0,1296.0,3,397999.0,0
1,2,2,2,3751.0,1200.0,3,259999.0,0
4,7,3,2,2475.0,1550.0,2,694995.0,2
1,3,2,1,3751.0,1800.0,4,885000.0,0
4,5,2,2,2614.0,1550.0,2,171000.0,1
4,7,3,2,3125.0,1550.0,2,410000.0,1
1,1,1,2,3751.0,800.0,3,145900.0,3
1,2,2,2,3751.0,1000.0,3,325000.0,1
4,5,2,2,3125.0,1550.0,2,288000.0,1
4,6,3,2,3125.0,1550.0,2,510000.0,1
1,1,1,1,3751.0,1000.0,4,409900.0,1
1,1,1,1,3751.0,1550.0,10,295000.0,1
1,0,1,2,3751.0,505.0,10,149900.0,1
1,2,2,1,3751.0,1359.0,7,400000.0,0
1,2,2,1,3751.0,1200.0,28,180000.0,3
1,2,2,2,3751.0,1217.0,4,450000.0,1
1,1,1,1,3751.0,1550.0,6,399900.0,0
1,2,1,2,3751.0,900.0,3,215000.0,4
1,2,2,1,3751.0,1425.0,57,464000.0,3
1,4,2,2,3751.0,1600.0,3,475000.0,4
1,1,1,2,3751.0,1550.0,3,140000.0,4
1,1,1,2,3751.0,750.0,3,139000.0,3
1,2,2,2,3751.0,1600.0,4,389900.0,4
1,2,2,2,3751.0,1550.0,6,214900.0,3
1,2,1,1,3751.0,980.0,4,319000.0,0
1,2,1,2,3751.0,1550.0,4,134900.0,3
1,2,1,2,3751.0,1550.0,3,319500.0,4
4,6,3,2,3751.0,1550.0,2,299000.0,4
1,2,1,2,3751.0,1550.0,3,199900.0,4
1,2,1,1,3751.0,1039.0,10,399000.0,0
1,1,1,1,3751.0,1550.0,35,280000.0,0
1,1,2,1,3751.0,1470.0,66,575000.0,3
1,2,2,1,3751.0,1175.0,16,445000.0,0
6,3,3,2,1984.0,1670.0,2,469000.0,0
1,1,1,2,3751.0,725.0,60,339000.0,3
1,0,1,1,3751.0,1550.0,59,209900.0,0
1,1,1,1,3751.0,1100.0,70,410000.0,3
1,1,1,1,3751.0,800.0,40,249900.0,3
1,4,4,1,3751.0,2400.0,3,1169000.0,0
1,1,1,1,3751.0,750.0,23,245000.0,4
1,1,1,1,3751.0,735.0,26,200000.0,3
1,1,1,2,3751.0,860.0,45,365000.0,0
1,1,1,2,3751.0,1550.0,46,260000.0,0
1,1,1,1,3751.0,1550.0,22,275000.0,0
1,1,1,2,3751.0,1550.0,16,189000.0,4
1,2,3,2,3751.0,1550.0,28,590000.0,3
1,3,2,1,3751.0,1611.0,57,724900.0,0
1,2,2,1,3751.0,1100.0,30,500000.0,3
1,1,1,1,3751.0,864.0,24,265000.0,0
1,2,2,1,3751.0,1762.0,45,398000.0,3
1,2,2,1,3751.0,1550.0,7,387500.0,0
1,1,1,1,3751.0,1550.0,7,249900.0,4
1,1,1,1,3751.0,680.0,54,229000.0,3
5,4,3,2,3125.0,2800.0,2,790000.0,0
1,2,1,2,3751.0,1000.0,14,75900.0,3
1,3,3,1,3751.0,1758.0,57,1100000.0,0
1,1,2,1,3751.0,1550.0,8,250000.0,0
1,3,3,1,3751.0,2096.0,55,950000.0,0
1,2,2,1,3751.0,1299.0,12,650000.0,0
1,2,2,1,3751.0,1550.0,29,325000.0,3
1,2,2,2,3751.0,1395.0,10,685000.0,0
1,2,2,1,3751.0,1150.0,57,325000.0,3
1,2,2,1,3751.0,1400.0,40,549900.0,3
1,1,1,1,3751.0,925.0,28,177500.0,3
1,0,1,1,3751.0,500.0,28,169900.0,3
1,2,2,1,3751.0,1550.0,27,449900.0,0
1,1,1,1,3751.0,860.0,19,199900.0,3
1,1,2,1,3751.0,890.0,15,325000.0,0
1,1,1,1,3751.0,850.0,30,165000.0,3
1,2,2,2,3751.0,1400.0,10,370000.0,1
4,6,3,2,3900.0,1550.0,2,275000.0,4
3,3,2,2,2250.0,1550.0,2,90000.0,0
4,8,0,2,3751.0,1550.0,2,424900.0,1
1,2,1,2,3751.0,1550.0,2,249000.0,4
1,2,2,2,3751.0,1700.0,29,399900.0,4
5,3,2,2,3751.0,1550.0,2,29000.0,3
1,1,1,2,3751.0,1550.0,3,249900.0,4
5,3,2,2,3751.0,1320.0,2,269999.0,4
5,3,2,2,6200.0,2026.0,2,495000.0,4
6,3,2,1,3750.0,1233.0,2,93000.0,1
4,9,6,2,3729.0,1550.0,2,233000.0,4
5,5,5,2,12502.0,4724.0,2,949873.0,4
5,3,1,2,5560.0,1127.0,1,249000.0,4
1,3,2,2,3751.0,1800.0,4,625000.0,1
5,4,3,2,3125.0,1360.0,2,160000.0,1
1,2,2,2,3751.0,1550.0,1,495000.0,3
5,3,2,2,3750.0,1100.0,2,240000.0,4
5,3,2,1,5244.0,1622.0,1,264500.0,3
5,3,2,2,4687.0,1224.0,2,185000.0,3
5,6,13,1,6599.0,20002.0,3,15750000.0,4
1,1,1,1,3751.0,850.0,25,28000.0,4
5,4,2,2,7830.0,2165.0,2,689000.0,3
5,3,2,2,3125.0,1445.0,2,389999.0,0
5,2,2,2,4625.0,1550.0,2,129900.0,1
5,4,4,2,3751.0,2700.0,2,790000.0,4
5,4,3,2,3751.0,2300.0,2,389900.0,1
5,3,1,2,3751.0,1104.0,1,114400.0,3
6,2,1,1,3751.0,936.0,2,49000.0,4
5,3,1,2,5320.0,1200.0,2,299900.0,3
5,4,1,2,3751.0,899.0,2,93600.0,4
4,5,4,2,2544.0,1550.0,2,399000.0,0
5,4,2,2,3751.0,4500.0,2,1600000.0,4
5,5,4,2,12776.0,6721.0,2,998888.0,4
5,5,7,2,13504.0,5500.0,3,1175000.0,1
1,2,2,2,3751.0,1375.0,5,299900.0,4
1,2,2,2,3751.0,1500.0,1,450000.0,1
1,1,1,2,3751.0,800.0,2,110000.0,3
1,2,1,2,3751.0,1100.0,3,224700.0,1
5,4,3,2,3746.0,1150.0,2,99500.0,1
5,4,1,2,8960.0,1350.0,2,119900.0,1
5,3,1,2,3100.0,1600.0,2,180000.0,1
5,3,2,2,3751.0,1492.0,2,289900.0,4
5,3,3,2,5355.0,1220.0,1,345000.0,3
5,6,6,2,3125.0,5200.0,3,3399000.0,0
5,3,2,2,3750.0,1082.0,2,315000.0,3
5,2,1,2,3690.0,850.0,1,274900.0,4
5,5,4,2,6250.0,3400.0,2,399999.0,3
4,10,5,2,38768.0,4200.0,2,165000.0,1
5,4,2,2,5001.0,2850.0,2,399000.0,4
4,6,5,2,3751.0,2600.0,2,489900.0,3
5,4,1,2,4935.0,1200.0,2,280000.0,4
5,3,2,2,4200.0,1344.0,2,269900.0,4
5,4,2,2,3750.0,1800.0,2,259900.0,4
5,2,2,2,6075.0,1344.0,2,39900.0,1
1,4,6,2,3751.0,7582.0,70,15170000.0,0
5,2,1,2,4125.0,1000.0,2,269900.0,4
5,3,2,2,6395.0,1536.0,2,309000.0,4
1,3,2,2,3751.0,1700.0,3,239900.0,0
5,3,3,3,4051.0,2054.0,2,250000.0,4
5,4,3,2,8599.0,2506.0,2,495000.0,1
6,3,3,1,3751.0,1550.0,3,679000.0,3
5,3,2,2,3813.0,1328.0,1,419000.0,3
1,2,1,2,3751.0,1550.0,2,215000.0,4
1,2,1,2,3751.0,1100.0,3,255000.0,4
5,3,3,2,6250.0,2600.0,2,950000.0,4
5,3,1,2,5625.0,994.0,1,175000.0,4
1,4,4,1,3751.0,3000.0,17,400000.0,4
4,6,4,2,4032.0,1550.0,2,399000.0,4
5,4,3,4,13321.0,2869.0,2,399900.0,1
5,3,3,2,3751.0,1650.0,2,484999.0,4
1,2,1,2,3751.0,1000.0,4,165000.0,4
5,3,3,2,8000.0,2500.0,2,429999.0,4
5,5,7,2,3071.0,6450.0,2,4980000.0,0
1,2,2,1,3751.0,1250.0,20,199900.0,3
4,6,3,2,4356.0,1550.0,2,135000.0,2
5,4,3,2,3750.0,2154.0,2,389000.0,1
5,3,2,3,5837.0,2090.0,2,495000.0,4
5,6,6,2,4500.0,6400.0,3,3495000.0,0
5,6,5,2,30056.0,5400.0,3,899000.0,1
5,5,5,2,9380.0,3260.0,3,450000.0,1
5,4,3,2,4410.0,3549.0,2,650000.0,1
5,3,2,2,2500.0,1900.0,2,340000.0,3
5,4,4,2,7188.0,1550.0,3,1850000.0,1
1,2,3,1,3751.0,2400.0,3,280500.0,0
5,6,5,3,3907.0,5000.0,2,2649900.0,0
5,5,4,2,3125.0,4000.0,3,750000.0,1
5,3,2,2,3751.0,3514.0,2,520000.0,4
5,3,2,2,4000.0,2000.0,2,415000.0,1
6,3,2,2,3751.0,1592.0,2,90000.0,4
5,4,2,2,7250.0,1550.0,3,1050000.0,1
5,3,4,2,3123.0,3222.0,2,950000.0,1
5,3,2,2,4720.0,1944.0,2,595000.0,4
1,2,1,2,3751.0,1550.0,3,385000.0,4
5,6,3,2,5160.0,2409.0,2,679000.0,1
4,4,2,1,37897.0,1550.0,2,275000.0,1
5,3,3,2,3125.0,2222.0,2,567000.0,3
1,1,1,1,3751.0,1550.0,3,169900.0,0
5,5,3,2,3751.0,4000.0,2,774900.0,4
6,2,1,1,2858.0,1017.0,2,179900.0,4
5,6,7,2,2574.0,8000.0,3,2999999.0,1
5,3,2,2,3125.0,1550.0,1,350000.0,2
5,6,8,3,3690.0,6200.0,3,2695000.0,0
5,3,2,2,3751.0,1425.0,2,259900.0,1
5,4,4,2,3459.0,1550.0,2,765000.0,0
1,3,3,1,3751.0,3000.0,17,520000.0,4
5,6,4,3,4125.0,4611.0,2,1895000.0,0
5,2,2,2,4792.0,1974.0,1,469000.0,4
5,4,3,2,5625.0,1943.0,2,649500.0,4
5,4,4,2,3720.0,1218.0,2,250000.0,1
5,4,4,2,7560.0,3000.0,2,650000.0,4
5,3,3,2,3751.0,1575.0,1,309900.0,4
1,2,2,2,3751.0,1600.0,26,350000.0,4
5,4,3,4,8712.0,3712.0,3,1399000.0,1
4,6,2,2,3751.0,1550.0,2,265000.0,4
5,5,4,2,3999.0,1124.0,2,99900.0,1
5,4,3,2,3250.0,1400.0,2,249900.0,1
1,1,1,2,3751.0,1000.0,3,112100.0,3
5,3,1,2,6500.0,1250.0,1,239900.0,3
6,3,3,2,3751.0,1550.0,4,273000.0,0
5,3,2,2,3751.0,1580.0,2,199999.0,4
5,3,2,2,6000.0,1032.0,1,230000.0,3
5,4,3,2,8950.0,1176.0,2,455000.0,1
5,2,2,2,3684.0,1280.0,2,359000.0,1
5,3,2,2,4250.0,1490.0,2,308900.0,4
5,4,4,2,3125.0,1550.0,2,1250000.0,0
5,3,2,3,3751.0,1341.0,1,229900.0,4
5,4,4,2,3000.0,3600.0,2,1399000.0,3
5,3,1,2,3125.0,1232.0,1,59900.0,1
5,3,1,2,2156000.0,1170.0,2,264900.0,3
5,4,3,1,3125.0,2563.0,3,549987.0,1
6,3,3,1,630.0,2150.0,3,719000.0,0
5,3,2,3,6199.0,2150.0,2,799999.0,4
5,3,1,2,3750.0,1748.0,2,344900.0,1
5,6,3,2,3780.0,2300.0,2,399000.0,4
5,4,2,2,4443.0,3500.0,3,875000.0,2
5,3,3,2,2700.0,2000.0,2,625000.0,0
5,5,3,2,4085.0,1813.0,2,379900.0,4
5,3,2,2,5192.0,2160.0,2,510000.0,4
5,2,2,2,3123.0,1369.0,2,125000.0,1
5,3,2,2,3750.0,1550.0,2,550000.0,1
5,4,5,2,3224.0,1550.0,2,1150000.0,0
5,5,7,2,3093.0,5800.0,3,3350000.0,0
5,4,3,2,3604.0,1550.0,2,314999.0,4
5,4,2,2,3149.0,1500.0,2,402000.0,1
1,4,4,2,3751.0,3000.0,17,499000.0,1
5,4,1,2,3751.0,1400.0,2,359888.0,4
5,3,3,2,5250.0,3600.0,1,435000.0,4
5,4,2,2,3751.0,1056.0,2,75000.0,1
5,4,2,2,9150.0,1850.0,2,325000.0,4
5,4,4,2,3751.0,3300.0,2,698500.0,4
5,4,2,2,3751.0,2371.0,2,59900.0,2
5,3,2,2,4375.0,1701.0,2,299500.0,4
5,4,1,2,5000.0,1623.0,2,343000.0,4
5,4,3,2,5000.0,2879.0,2,385000.0,4
5,4,2,2,3136.0,2310.0,2,485000.0,1
5,3,2,1,6273.0,1283.0,1,429900.0,4
5,3,2,2,4704.0,1518.0,2,449900.0,1
1,2,2,1,3751.0,1000.0,4,245000.0,3
5,1,1,2,3751.0,880.0,2,99000.0,4
5,5,4,2,3125.0,3600.0,2,1219900.0,0
5,3,2,2,3751.0,1836.0,2,200000.0,1
1,2,2,2,3751.0,1200.0,3,179000.0,1
1,3,3,1,3751.0,1550.0,3,975000.0,0
5,3,4,2,5279.0,1550.0,2,870000.0,1
1,2,2,1,3751.0,1550.0,1,429999.0,3
1,2,2,2,3751.0,1550.0,2,225000.0,1
6,3,3,2,3751.0,1550.0,4,799000.0,0
6,3,3,2,3751.0,2000.0,3,675000.0,0
4,6,2,2,1.0,1550.0,2,799900.0,1
4,7,2,2,2400.0,1550.0,2,749000.0,2
5,4,2,2,3844.0,1490.0,2,129000.0,1
1,1,1,1,3751.0,1550.0,1,269900.0,4
5,6,2,2,6251.0,1040.0,2,250000.0,1
1,3,3,2,3751.0,2200.0,3,700000.0,0
1,1,1,2,3751.0,900.0,3,128000.0,4
4,7,3,1,4850.0,2800.0,2,675000.0,1
6,3,2,1,1166.0,1369.0,2,369000.0,4
4,8,4,2,2178.0,1550.0,2,567500.0,1
4,7,3,2,3751.0,3000.0,2,529900.0,1
4,7,5,2,3751.0,2550.0,2,159000.0,2
5,3,2,2,4125.0,1291.0,1,95000.0,3
1,2,2,2,3751.0,1400.0,3,265000.0,1
4,12,4,2,3750.0,4400.0,2,1599900.0,1
1,2,2,2,3751.0,1300.0,4,575000.0,1
5,3,2,2,3125.0,3780.0,2,289900.0,4
4,4,2,2,3125.0,1550.0,2,290000.0,1
5,3,2,2,3528.0,1138.0,1,130000.0,0
6,4,4,2,1092.0,1850.0,3,650000.0,0
1,2,2,2,3751.0,1550.0,4,199900.0,4
